Name,Survived
"Goldschmidt, Mr. George B",0
"Goodwin, Master. Harold Victor",0
"Olsvigen, Mr. Thor Anderson",0
"Beane, Mrs. Edward (Ethel Clarke)",1
"Collyer, Mr. Harvey",0
"Drew, Mrs. James Vivian (Lulu Thorne Christian)",1
"Rommetvedt, Mr. Knud Paust",0
"Peter, Miss. Anna",1
"Collyer, Miss. Marjorie ""Lottie""",1
"Chip, Mr. Chang",1
"Denkoff, Mr. Mitto",0
"Sage, Master. Thomas Henry",0
"Drazenoic, Mr. Jozef",0
"Appleton, Mrs. Edward Dale (Charlotte Lamson)",1
"Nenkoff, Mr. Christo",0
"Shelley, Mrs. William (Imanita Parrish Hall)",1
"Saalfeld, Mr. Adolphe",1
"Baxter, Mr. Quigg Edmond",0
"Hart, Mrs. Benjamin (Esther Ada Bloomfield)",1
"Zabour, Miss. Hileni",0
"Patchett, Mr. George",0
"Kelly, Miss. Anna Katherine ""Annie Kate""",1
"Ivanoff, Mr. Kanio",0
"Roebling, Mr. Washington Augustus II",0
"Caram, Mrs. Joseph (Maria Elias)",0
"Andrew, Mr. Edgardo Samuel",0
"Hendekovic, Mr. Ignjac",0
"Lovell, Mr. John Hall (""Henry"")",0
"Beesley, Mr. Lawrence",1
"Gustafsson, Mr. Anders Vilhelm",0
"Smith, Mr. Thomas",0
"Longley, Miss. Gretchen Fiske",1
"Fortune, Mr. Mark",0
"Stanley, Mr. Edward Roland",0
"Quick, Miss. Phyllis May",1
"McEvoy, Mr. Michael",0
"Bowen, Mr. David John ""Dai""",0
"Nicholson, Mr. Arthur Ernest",0
"Hodges, Mr. Henry Price",0
"White, Mr. Percival Wayland",0
"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",1
"Gee, Mr. Arthur H",0
"Wilhelms, Mr. Charles",1
"Theobald, Mr. Thomas Leonard",0
"Carter, Mrs. Ernest Courtenay (Lilian Hughes)",0
"van Melkebeke, Mr. Philemon",0
"Panula, Master. Urho Abraham",0
"Robbins, Mr. Victor",0
"Givard, Mr. Hans Kristensen",0
"O'Connor, Mr. Maurice",0
"Bailey, Mr. Percy Andrew",0
"Harris, Mrs. Henry Birkhardt (Irene Wallach)",1
"Chaffee, Mr. Herbert Fuller",0
"Murphy, Miss. Katherine ""Kate""",1
"Richards, Master. George Sibley",1
"Van Impe, Mr. Jean Baptiste",0
"Cook, Mr. Jacob",0
"Mineff, Mr. Ivan",0
"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",0
"Johannesen-Bratthammer, Mr. Bernt",1
"Becker, Master. Richard F",1
"Thorneycroft, Mrs. Percival (Florence Kate White)",1
"Lefebre, Miss. Jeannie",0
"Taussig, Mrs. Emil (Tillie Mandelbaum)",1
"Klaber, Mr. Herman",0
"Madsen, Mr. Fridtjof Arne",1
"Herman, Miss. Alice",1
"Reeves, Mr. David",0
"Nosworthy, Mr. Richard Cater",0
"Hale, Mr. Reginald",0
"Zabour, Miss. Thamine",0
"Sage, Miss. Constance Gladys",0
"Birkeland, Mr. Hans Martin Monsen",0
"Panula, Master. Eino Viljami",0
"Pears, Mr. Thomas Clinton",0
"Newell, Miss. Madeleine",1
"Giles, Mr. Frederick Edward",0
"Adahl, Mr. Mauritz Nils Martin",0
"Collander, Mr. Erik Gustaf",0
"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",1
"Pasic, Mr. Jakob",0
"Dodge, Master. Washington",1
"Brocklebank, Mr. William Alfred",0
"Ford, Miss. Robina Maggie ""Ruby""",0
"Rosblom, Mrs. Viktor (Helena Wilhelmina)",0
"Larsson, Mr. August Viktor",0
"Minahan, Miss. Daisy E",1
"Sjostedt, Mr. Ernst Adolf",0
"Van der hoef, Mr. Wyckoff",0
"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")",1
"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",1
"Duran y More, Miss. Asuncion",1
"Dick, Mr. Albert Adrian",1
"Nicola-Yarred, Master. Elias",1
"Sirayanian, Mr. Orsen",0
"O'Driscoll, Miss. Bridget",1
"Ford, Mrs. Edward (Margaret Ann Watson)",0
"Fortune, Miss. Alice Elizabeth",1
"Rothschild, Mrs. Martin (Elizabeth L. Barrett)",1
"Johnson, Master. Harold Theodor",1
"Corn, Mr. Harry",0
"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",1
"Humblen, Mr. Adolf Mathias Nicolai Olsen",0
"Leonard, Mr. Lionel",0
"Harper, Miss. Annie Jessie ""Nina""",1
"Andersson, Miss. Sigrid Elisabeth",0
"Jacobsohn, Mr. Sidney Samuel",0
"Yousif, Mr. Wazli",0
"Lewy, Mr. Ervin G",0
"Cameron, Miss. Clear Annie",1
"Sheerlinck, Mr. Jan Baptist",1
"Coxon, Mr. Daniel",0
"Rice, Master. Arthur",0
"Gallagher, Mr. Martin",0
"Behr, Mr. Karl Howell",1
"Hassan, Mr. Houssein G N",0
"Pettersson, Miss. Ellen Natalia",0
"Rice, Master. George Hugh",0
"Coleff, Mr. Peju",0
"Samaan, Mr. Youssef",0
"Taylor, Mrs. Elmer Zebley (Juliet Cummins Wright)",1
"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",0
"Bishop, Mrs. Dickinson H (Helen Walton)",1
"Bourke, Miss. Mary",0
"Sagesser, Mlle. Emma",1
"Leinonen, Mr. Antti Gustaf",0
"Marvin, Mr. Daniel Warner",0
"Harknett, Miss. Alice Phoebe",0
"Chibnall, Mrs. (Edith Martha Bowerman)",1
"Meanwell, Miss. (Marion Ogden)",0
"Hamalainen, Master. Viljo",1
"Strom, Miss. Telma Matilda",0
"Keane, Miss. Nora A",1
"Reuchlin, Jonkheer. John George",0
"Celotti, Mr. Francesco",0
"McCormack, Mr. Thomas Joseph",1
"Leitch, Miss. Jessie Wills",1
"Pain, Dr. Alfred",0
"Backstrom, Mr. Karl Alfred",0
"Niskanen, Mr. Juha",1
"Harper, Mr. Henry Sleeper",1
"Stahelin-Maeglin, Dr. Max",1
"Bing, Mr. Lee",1
"Olsen, Mr. Ole Martin",0
"Cherry, Miss. Gladys",1
"Artagaveytia, Mr. Ramon",0
"Allen, Miss. Elisabeth Walton",1
"Hocking, Mrs. Elizabeth (Eliza Needs)",1
"Petranec, Miss. Matilda",0
"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",0
"Widener, Mr. Harry Elkins",0
"O'Brien, Mr. Thomas",0
"Peduzzi, Mr. Joseph",0
"Glynn, Miss. Mary Agatha",1
"Chapman, Mr. Charles Henry",0
"Asplund, Master. Clarence Gustaf Hugo",0
"Bonnell, Miss. Elizabeth",1
"Duane, Mr. Frank",0
"Jermyn, Miss. Annie",1
"Bishop, Mr. Dickinson H",1
"Thorne, Mrs. Gertrude Maybelle",1
"Karun, Miss. Manca",1
"Foreman, Mr. Benjamin Laventall",0
"Rugg, Miss. Emily",1
"Sivic, Mr. Husein",0
"Richards, Mrs. Sidney (Emily Hocking)",1
"Goodwin, Mr. Charles Edward",0
"Flynn, Mr. John Irwin (""Irving"")",1
"Quick, Mrs. Frederick Charles (Jane Richards)",1
"Attalah, Mr. Sleiman",0
"Murphy, Miss. Margaret Jane",1
"Carlsson, Mr. August Sigfrid",0
"Holm, Mr. John Fredrik Alexander",0
"Heikkinen, Miss. Laina",1
"Webber, Mr. James",0
"Sage, Mr. Douglas Bullen",0
"Gilnagh, Miss. Katherine ""Katie""",1
"Lindahl, Miss. Agda Thorilda Viktoria",0
"Laitinen, Miss. Kristina Sofia",0
"Frauenthal, Dr. Henry William",1
"Abelson, Mr. Samuel",0
"Rice, Master. Eric",0
"Connolly, Miss. Kate",1
"Shorney, Mr. Charles Joseph",0
"Kelly, Mrs. Florence ""Fannie""",1
"Goldsmith, Mr. Frank John",0
"Johnson, Mr. Malkolm Joackim",0
"Bjornstrom-Steffansson, Mr. Mauritz Hakan",1
"Kilgannon, Mr. Thomas J",0
"Pinsky, Mrs. (Rosa)",1
"Silverthorne, Mr. Spencer Victor",1
"Panula, Mr. Jaako Arnold",0
"Sdycoff, Mr. Todor",0
"Hunt, Mr. George Henry",0
"Holverson, Mr. Alexander Oskar",0
"Jonsson, Mr. Carl",1
"Jerwan, Mrs. Amin S (Marie Marthe Thuillard)",1
"Sedgwick, Mr. Charles Frederick Waddington",0
"Laleff, Mr. Kristo",0
"Asplund, Master. Edvin Rojj Felix",1
"Campbell, Mr. William",0
"Torber, Mr. Ernst William",0
"Andersson, Mr. Anders Johan",0
"Skoog, Miss. Mabel",0
"Kenyon, Mrs. Frederick R (Marion)",1
"Young, Miss. Marie Grice",1
"Bourke, Mr. John",0
"Connors, Mr. Patrick",0
"Robins, Mrs. Alexander A (Grace Charity Laury)",0
"Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy)",1
"Jussila, Mr. Eiriik",1
"Thayer, Mrs. John Borland (Marian Longstreth Morris)",1
"Padro y Manent, Mr. Julian",1
"Jardin, Mr. Jose Neto",0
"Parkes, Mr. Francis ""Frank""",0
"Calic, Mr. Petar",0
"Maioni, Miss. Roberta",1
"Vestrom, Miss. Hulda Amanda Adolfina",0
"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)",1
"Hays, Mrs. Charles Melville (Clara Jennings Gregg)",1
"Vande Walle, Mr. Nestor Cyriel",0
"Berriman, Mr. William John",0
"Johanson, Mr. Jakob Alfred",0
"Mallet, Master. Andre",1
"Bostandyeff, Mr. Guentcho",0
"Frolicher-Stehli, Mr. Maxmillian",1
"Cacic, Mr. Luka",0
"Lam, Mr. Ali",1
"Coelho, Mr. Domingos Fernandeo",0
"Danbom, Mr. Ernst Gilbert",0
"Andersson, Miss. Ebba Iris Alfrida",0
"Horgan, Mr. John",0
"Aks, Mrs. Sam (Leah Rosen)",1
"Hogeboom, Mrs. John C (Anna Andrews)",1
"Fox, Mr. Stanley Hubert",0
"McGough, Mr. James Robert",1
"Harrison, Mr. William",0
"Nicola-Yarred, Miss. Jamila",1
"Laroche, Miss. Simonne Marie Anne Andree",1
"Harris, Mr. Henry Birkhardt",0
"Ridsdale, Miss. Lucy",1
"Spencer, Mrs. William Augustus (Marie Eugenie)",1
"Nirva, Mr. Iisakki Antino Aijo",0
"Homer, Mr. Harry (""Mr E Haven"")",1
"Andersson, Miss. Ellis Anna Maria",0
"Braund, Mr. Owen Harris",0
"Alexander, Mr. William",0
"Honkanen, Miss. Eliina",1
"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",1
"Keefe, Mr. Arthur",0
"Baclini, Miss. Eugenie",1
"Sundman, Mr. Johan Julian",1
"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",0
"Sutehall, Mr. Henry Jr",0
"Reed, Mr. James George",0
"Tobin, Mr. Roger",0
"Allen, Mr. William Henry",0
"Kink-Heilmann, Miss. Luise Gretchen",1
"O'Brien, Mr. Timothy",0
"Jalsevac, Mr. Ivan",1
"Maisner, Mr. Simon",0
"Paulner, Mr. Uscher",0
"Dakic, Mr. Branko",0
"Thorneycroft, Mr. Percival",0
"Goldsmith, Master. Frank John William ""Frankie""",1
"Barah, Mr. Hanna Assi",1
"Madigan, Miss. Margaret ""Maggie""",1
"Jarvis, Mr. John Denzil",0
"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",0
"Coutts, Master. William Loch ""William""",1
"Baclini, Miss. Helene Barbara",1
"Dorking, Mr. Edward Arthur",1
"Skoog, Mr. Wilhelm",0
"Stewart, Mr. Albert A",0
"Flynn, Mr. James",0
"Sjoblom, Miss. Anna Sofia",1
"Webber, Miss. Susan",1
"Madill, Miss. Georgette Alexandra",1
"Taylor, Mr. Elmer Zebley",1
"Smith, Mr. Richard William",0
"Barkworth, Mr. Algernon Henry Wilson",1
"Doharr, Mr. Tannous",0
"Moraweck, Dr. Ernest",0
"Becker, Miss. Marion Louise",1
"Palsson, Miss. Torborg Danira",0
"Hedman, Mr. Oskar Arvid",1
"Sinkkonen, Miss. Anna",1
"Wells, Miss. Joan",1
"Louch, Mrs. Charles Alexander (Alice Adelaide Slow)",1
"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",1
"Johnson, Mr. Alfred",0
"Stead, Mr. William Thomas",0
"Carbines, Mr. William",0
"Kelly, Mr. James",0
"Charters, Mr. David",0
"McKane, Mr. Peter David",0
"Andersson, Master. Sigvard Harald Elias",0
"Ryerson, Miss. Susan Parker ""Suzette""",1
"Toufik, Mr. Nakli",0
"Rogers, Mr. William John",0
"Sage, Mr. Frederick",0
"Soholt, Mr. Peter Andreas Lauritz Andersen",0
"Windelov, Mr. Einar",0
"Johansson, Mr. Gustaf Joel",0
"Taussig, Mr. Emil",0
"Asplund, Miss. Lillian Gertrud",1
"Berglund, Mr. Karl Ivar Sven",0
"Milling, Mr. Jacob Christian",0
"Sage, Mr. George John Jr",0
"Williams, Mr. Leslie",0
"Cleaver, Miss. Alice",1
"Alhomaki, Mr. Ilmari Rudolf",0
"Slayter, Miss. Hilda Mary",1
"Lulic, Mr. Nikola",1
"Saundercock, Mr. William Henry",0
"Wiseman, Mr. Phillippe",0
"Davies, Mr. Alfred J",0
"Hood, Mr. Ambrose Jr",0
"Rood, Mr. Hugh Roscoe",0
"Leader, Dr. Alice (Farnham)",1
"Abbott, Mr. Rossmore Edward",0
"Moubarek, Master. Halim Gonios (""William George"")",1
"Ekstrom, Mr. Johan",0
"Razi, Mr. Raihed",0
"de Messemaeker, Mrs. Guillaume Joseph (Emma)",1
"Panula, Mrs. Juha (Maria Emilia Ojala)",0
"Coleff, Mr. Satio",0
"Montvila, Rev. Juozas",0
"Ford, Miss. Doolina Margaret ""Daisy""",0
"Olsen, Mr. Henry Margido",0
"Gustafsson, Mr. Karl Gideon",0
"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)",1
"Vander Planke, Miss. Augusta Maria",0
"Gheorgheff, Mr. Stanio",0
"Pengelly, Mr. Frederick William",0
"Ostby, Mr. Engelhart Cornelius",0
"Butt, Major. Archibald Willingham",0
"Lang, Mr. Fang",1
"Abbing, Mr. Anthony",0
"Klasen, Mr. Klas Albin",0
"Long, Mr. Milton Clyde",0
"Peuchen, Major. Arthur Godfrey",1
"Novel, Mr. Mansouer",0
"Fry, Mr. Richard",0
"Rosblom, Mr. Viktor Richard",0
"Strom, Mrs. Wilhelm (Elna Matilda Persson)",0
"Fahlstrom, Mr. Arne Jonas",0
"Petroff, Mr. Pastcho (""Pentcho"")",0
"Mack, Mrs. (Mary)",0
"Hoyt, Mr. William Fisher",0
"Moutal, Mr. Rahamin Haim",0
"Newell, Miss. Marjorie",1
"Skoog, Master. Harald",0
"Greenberg, Mr. Samuel",0
"Francatelli, Miss. Laura Mabel",1
"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",0
"Caldwell, Master. Alden Gates",1
"Stankovic, Mr. Ivan",0
"Davison, Mrs. Thomas Henry (Mary E Finck)",1
"Hassab, Mr. Hammad",1
"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",1
"Morley, Mr. William",0
"Emir, Mr. Farred Chehab",0
"Youseff, Mr. Gerious",0
"Hampe, Mr. Leon",0
"Crosby, Miss. Harriet R",1
"Levy, Mr. Rene Jacques",0
"Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)",1
"Vander Planke, Mr. Leo Edmondus",0
"Rice, Master. Eugene",0
"Renouf, Mrs. Peter Henry (Lillian Jefferys)",1
"Swift, Mrs. Frederick Joel (Margaret Welles Barron)",1
"Downton, Mr. William James",0
"Williams, Mr. Charles Eugene",1
"Lindell, Mr. Edvard Bengtsson",0
"Johnston, Miss. Catherine Helen ""Carrie""",0
"Masselmani, Mrs. Fatima",1
"Mockler, Miss. Helen Mary ""Ellie""",1
"Hawksford, Mr. Walter James",1
"Carter, Mr. William Ernest",1
"Allison, Miss. Helen Loraine",0
"Richard, Mr. Emile",0
"Johnson, Miss. Eleanor Ileen",1
"Tomlin, Mr. Ernest Portage",0
"Bidois, Miss. Rosalie",1
"Bowerman, Miss. Elsie Edith",1
"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",1
"Navratil, Master. Edmond Roger",1
"Jonkoff, Mr. Lalio",0
"Kent, Mr. Edward Austin",0
"Harder, Mr. George Achilles",1
"Walker, Mr. William Anderson",0
"Moen, Mr. Sigurd Hansen",0
"Ringhini, Mr. Sante",0
"Scanlan, Mr. James",0
"Vande Velde, Mr. Johannes Joseph",0
"Andreasson, Mr. Paul Edvin",0
"Thayer, Mr. John Borland",0
"Betros, Mr. Tannous",0
"Augustsson, Mr. Albert",0
"Ayoub, Miss. Banoura",1
"Carter, Miss. Lucile Polk",1
"Lievens, Mr. Rene Aime",0
"Barton, Mr. David John",0
"Palsson, Miss. Stina Viola",0
"Van Impe, Mrs. Jean Baptiste (Rosalie Paula Govaert)",0
"Chapman, Mr. John Henry",0
"Fleming, Miss. Margaret",1
"Boulos, Mrs. Joseph (Sultana)",0
"Cunningham, Mr. Alfred Fleming",0
"Zimmerman, Mr. Leo",0
"Carlsson, Mr. Frans Olof",0
"Kantor, Mr. Sinai",0
"Toomey, Miss. Ellen",1
"van Billiard, Mr. Austin Blyler",0
"Yrois, Miss. Henriette (""Mrs Harbeck"")",0
"Millet, Mr. Francis Davis",0
"Hold, Mr. Stephen",0
"Guggenheim, Mr. Benjamin",0
"Elias, Mr. Dibo",0
"Hocking, Mr. Richard George",0
"Lindblom, Miss. Augusta Charlotta",0
"Blackwell, Mr. Stephen Weart",0
"Sutton, Mr. Frederick",0
"Frolicher, Miss. Hedwig Margaritha",1
"Dick, Mrs. Albert Adrian (Vera Gillespie)",1
"Kalvik, Mr. Johannes Halvorsen",0
"Nysveen, Mr. Johan Hansen",0
"Hamalainen, Mrs. William (Anna)",1
"Meo, Mr. Alfonzo",0
"Minahan, Dr. William Edward",0
"Meyer, Mr. Edgar Joseph",0
"Gustafsson, Mr. Johan Birger",0
"McNamee, Mr. Neal",0
"Balkic, Mr. Cerin",0
"Stranden, Mr. Juho",1
"Naidenoff, Mr. Penko",0
"Barbara, Miss. Saiide",0
"Pernot, Mr. Rene",0
"Moss, Mr. Albert Johan",1
"Nankoff, Mr. Minko",0
"Williams, Mr. Howard Hugh ""Harry""",0
"Navratil, Master. Michel M",1
"Davies, Master. John Morgan Jr",1
